Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
130,Idaho State,9,3,6,.333,-8.59,-0.45,0,0,2,1,1,5,636,602,,67.5,103.2,.369,.398,.564,52.7,51.7,9.4,5.6,.551,19.4,31.1,.223
131,Troy,13,5,8,.385,-7.98,-3.16,1,1,4,3,1,5,924,899,,71.2,98.9,.286,.397,.495,50.1,59.0,9.0,7.9,.466,16.3,32.8,.192
132,Mount St. Mary's,12,3,9,.250,-9.22,-1.40,0,0,2,2,1,7,739,808,,66.0,92.4,.287,.397,.471,49.6,46.4,8.0,7.9,.436,15.8,29.0,.200
133,Georgia Southern,13,8,5,.615,-1.59,0.14,2,0,6,0,1,4,1017,952,,75.6,103.5,.325,.396,.529,48.0,43.6,12.2,10.8,.497,14.3,27.0,.227
134,Temple,11,8,3,.727,14.10,3.46,0,0,4,1,2,0,802,685,,72.4,100.8,.309,.396,.517,52.3,59.1,11.6,9.3,.490,15.1,27.3,.207
135,Utah,12,9,3,.750,11.14,1.22,0,0,5,0,1,1,951,832,,71.2,110.2,.399,.395,.593,54.3,55.9,6.5,6.7,.557,17.2,28.7,.297
136,Baylor,10,9,1,.900,18.52,2.52,0,0,5,0,0,0,766,606,,70.0,109.4,.301,.394,.539,53.6,56.2,12.9,14.4,.510,14.6,36.8,.211
137,Tennessee State,13,8,5,.615,-1.59,-2.50,0,0,5,0,1,5,976,917,,72.4,103.7,.336,.394,.566,55.4,52.8,7.8,11.7,.550,20.8,34.7,.212
138,Brown,10,5,5,.500,-6.85,-4.25,0,0,4,1,1,4,695,721,,71.1,97.7,.292,.394,.503,54.4,52.2,9.7,12.6,.469,19.0,37.8,.208
139,Boston College,13,8,5,.615,3.19,1.03,2,0,5,4,2,1,879,851,,72.0,93.9,.314,.394,.507,47.0,56.9,12.6,7.6,.475,18.1,24.6,.215
140,Weber State,11,4,7,.364,-11.49,5.01,0,0,3,1,1,2,791,756,,70.4,102.1,.302,.393,.550,51.4,51.7,7.7,10.6,.531,16.5,25.1,.196
141,Michigan,12,9,3,.750,18.83,6.83,1,1,6,1,0,2,941,797,,70.3,110.4,.258,.392,.589,50.9,54.2,7.6,10.8,.566,15.5,25.7,.190
142,Sacred Heart,12,7,5,.583,-4.87,-6.23,0,0,2,0,4,4,951,892,,74.5,106.4,.285,.392,.547,52.9,55.1,7.9,8.3,.507,17.2,34.5,.230
143,Jacksonville State,12,4,8,.333,-8.35,-2.54,0,0,3,1,0,6,842,836,,70.3,98.8,.265,.391,.527,52.1,51.1,10.0,7.2,.510,18.4,29.6,.168
144,Drexel,13,7,6,.538,-3.93,-0.68,0,0,5,1,0,5,905,911,,70.0,98.5,.329,.390,.536,52.0,61.6,8.4,9.4,.508,20.5,31.9,.225
145,Central Arkansas,12,3,9,.250,-13.56,4.44,2,0,3,1,0,7,864,1042,,78.0,89.5,.437,.390,.503,47.5,56.1,6.0,14.2,.461,21.0,25.0,.293
146,Radford,11,4,7,.364,2.77,4.67,0,0,2,1,1,5,757,725,,65.5,105.1,.290,.389,.524,50.7,51.1,8.2,7.2,.502,14.3,31.1,.189
147,Iowa State,11,7,4,.636,13.98,3.25,0,0,6,1,0,1,895,777,,74.7,108.9,.285,.387,.553,48.0,56.6,11.6,14.4,.526,13.1,27.0,.203
