Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
123,Howard,13,2,11,.154,-23.07,-2.71,0,0,1,4,1,6,883,1052,,71.7,111.9,.325,.367,.572,54.6,65.5,7.9,10.1,.550,15.8,32.3,.221
124,Idaho State,9,3,6,.333,-8.59,-0.45,0,0,2,1,1,5,636,602,,67.5,97.7,.310,.249,.528,47.3,41.4,9.1,8.3,.488,17.6,25.7,.235
125,Idaho,11,4,7,.364,-13.74,-3.52,0,0,3,2,0,4,745,781,,70.5,99.6,.235,.396,.515,51.0,53.4,9.9,7.3,.493,14.9,26.4,.158
126,Illinois-Chicago,13,5,8,.385,-7.93,-0.18,0,0,4,3,0,5,857,947,,70.9,102.8,.343,.356,.525,52.3,57.9,9.4,8.7,.495,15.4,30.9,.231
127,Illinois State,12,5,7,.417,-2.58,1.42,0,0,5,1,0,3,823,848,,69.6,101.6,.308,.395,.539,50.4,48.3,9.5,7.6,.502,18.4,29.6,.232
128,Illinois,12,8,4,.667,13.31,4.04,1,1,7,1,1,2,951,797,,71.5,91.9,.175,.349,.495,41.0,45.2,10.7,5.0,.474,17.5,24.4,.124
129,Incarnate Word,12,3,9,.250,-22.45,-4.45,0,1,3,3,0,6,791,867,,71.0,100.8,.324,.393,.525,53.3,57.6,9.0,11.5,.487,17.7,32.9,.239
130,Indiana State,11,7,4,.636,4.24,2.64,0,0,4,0,1,2,805,782,,68.8,102.2,.370,.399,.535,50.1,49.8,7.1,8.4,.504,15.9,25.8,.251
131,Indiana,12,11,1,.917,15.26,1.35,1,1,9,0,0,1,964,797,,70.5,93.2,.325,.411,.510,42.6,52.2,9.7,7.4,.476,17.9,23.2,.226
132,Iona,6,2,4,.333,-5.46,-3.96,0,0,0,1,0,2,419,428,,69.1,99.1,.323,.384,.539,50.5,66.2,10.6,8.5,.519,20.1,31.8,.206
133,Iowa State,11,7,4,.636,13.98,3.25,0,0,6,1,0,1,895,777,,74.7,94.5,.207,.374,.505,52.0,47.6,8.4,5.0,.483,20.0,32.4,.143
134,Iowa,12,9,3,.750,16.55,7.22,1,1,5,1,2,1,957,845,,71.6,98.4,.244,.383,.518,47.4,55.2,8.8,11.0,.484,16.4,27.4,.189
135,Purdue-Fort Wayne,15,7,8,.467,-6.45,-1.86,0,0,6,1,1,7,1058,1032,,70.0,98.3,.251,.420,.536,48.6,57.4,9.4,8.9,.508,18.1,25.4,.185
136,IUPUI,13,4,9,.308,-14.95,-0.04,0,0,3,1,1,6,848,975,,71.0,105.6,.259,.415,.549,51.7,55.1,10.8,11.1,.525,16.4,30.7,.183
137,Jackson State,12,3,9,.250,-15.58,0.32,0,0,2,0,1,9,806,900,,73.0,102.7,.435,.379,.609,55.4,56.5,8.3,8.9,.579,23.8,27.7,.312
138,Jacksonville State,12,4,8,.333,-8.35,-2.54,0,0,3,1,0,6,842,836,,70.3,98.1,.247,.364,.537,47.9,53.0,9.3,10.9,.511,18.0,24.1,.178
139,Jacksonville,14,7,7,.500,-4.05,-2.64,0,0,3,1,3,4,943,928,,68.7,94.8,.258,.412,.491,47.7,46.6,9.5,8.2,.460,14.0,23.2,.183
140,James Madison,11,7,4,.636,-5.41,-2.21,0,0,5,1,2,3,841,825,,76.1,98.6,.208,.397,.488,49.1,47.0,7.6,9.9,.466,12.3,26.2,.140
141,Kansas State,11,6,5,.545,5.83,-1.08,0,0,5,1,1,0,732,656,,67.7,87.1,.318,.365,.495,50.3,48.9,10.2,9.5,.462,23.1,29.0,.215
142,Kansas,11,9,2,.818,27.50,9.60,0,0,5,0,1,1,901,692,,71.6,86.9,.237,.493,.476,44.6,54.9,9.4,5.1,.449,19.2,24.4,.162
143,Kennesaw State,12,1,11,.083,-20.13,-0.80,0,0,1,2,0,7,682,914,,70.1,108.7,.290,.405,.565,50.3,53.4,9.8,11.8,.541,15.7,27.6,.204
144,Kent State,12,10,2,.833,7.50,-4.60,0,0,7,0,2,0,975,785,,71.5,89.6,.297,.359,.482,48.2,50.9,6.7,6.3,.441,18.9,28.3,.219
145,Kentucky,11,8,3,.727,13.76,0.49,0,0,7,1,0,0,819,673,,69.8,87.6,.254,.399,.476,45.0,49.8,6.3,6.9,.446,17.6,23.4,.174
146,La Salle,11,8,3,.727,2.84,-0.70,0,0,4,1,1,2,790,751,,71.2,93.6,.369,.369,.485,50.4,47.7,11.3,12.3,.442,16.6,29.1,.256
147,Lafayette,10,7,3,.700,-1.30,-3.85,0,0,4,1,3,2,744,681,,68.2,99.9,.231,.341,.503,48.7,37.0,10.0,7.1,.478,13.2,27.1,.161
